,AC,AF,AR,AS,AST,AY,AwayTeam,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,WHA,WHD,WHH,HomeLastWin,VisitorLastWin,HmLasthlll,VisLasthlll,Hmdwl,Visdwl,HomeWinStreak,VisitorWinStreak,HomeUnbeatenStreak,VisitorUnbeatenStreak,HomeLosingStreak,VisitorLosingStreak,prev_HS,prev_AS,prev_HST,prev_AST,prev_HC,prev_AC,AtHomeWinStreak,HomeWinAgainstVisitor,HomeWinAgainstVisitorStreak,VisitorWinAgainstHomeStreak,VisitorWPLast5,HomeWPLast5,VisitorWPALast5,HomeWPHLast5,HomeWinAgainstVisitorL5,VisitorWinAgainstHomeL5
48,3.0,13.0,0.0,11.0,5.0,2.0,West Ham,11/09/00,E0,0.0,1.0,H,11.0,14.0,0.0,15.0,7.0,0.0,0.0,D,1.0,Tottenham,3.0,2.9,2.0,Steve Dunn,3.4,3.25,1.9,1,0,0,0,1,0,1,0,1,2,0,0,11.0,16.0,7.0,9.0,7.0,11.0,2,0,0,0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0
49,4.0,13.0,0.0,6.0,2.0,2.0,Coventry,16/09/00,E0,1.0,2.0,H,8.0,5.0,0.0,18.0,13.0,0.0,1.0,H,1.0,Arsenal,6.2,3.8,1.35,Mike Dean,10.5,4.33,1.25,0,0,0,0,0,0,0,0,4,1,0,0,18.0,9.0,11.0,1.0,10.0,6.0,2,0,0,0,0.5,0.6666666666666666,1.0,1.0,0.0,0.0
50,6.0,12.0,0.0,8.0,4.0,2.0,Bradford,16/09/00,E0,0.0,2.0,H,5.0,8.0,0.0,12.0,7.0,0.0,1.0,H,0.0,Aston Villa,5.5,3.6,1.4,Rob Styles,5.0,3.5,1.57,1,0,0,0,0,0,1,0,1,1,0,0,5.0,9.0,2.0,5.0,3.0,4.0,0,0,0,0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0
51,5.0,10.0,0.0,10.0,5.0,0.0,Tottenham,16/09/00,E0,0.0,1.0,H,7.0,8.0,0.0,9.0,5.0,0.0,1.0,H,0.0,Charlton,2.2,2.9,2.7,Jeff Winter,2.3,3.25,2.62,0,1,0,0,0,0,0,2,2,2,0,0,10.0,15.0,6.0,7.0,11.0,11.0,0,0,0,0,0.75,0.3333333333333333,0.0,1.0,0.0,0.0
52,5.0,11.0,0.0,17.0,9.0,1.0,Man United,16/09/00,E0,3.0,1.0,A,6.0,10.0,0.0,6.0,4.0,3.0,0.0,A,4.0,Everton,1.8,3.0,3.5,Dermot Gallagher,1.7,3.3,4.33,1,1,0,0,1,0,1,2,1,5,0,0,12.0,15.0,9.0,7.0,7.0,4.0,0,0,0,0,1.0,0.5,0.0,1.0,0.0,0.0
53,3.0,19.0,0.0,12.0,7.0,3.0,Ipswich,16/09/00,E0,2.0,1.0,A,6.0,12.0,0.0,11.0,6.0,1.0,1.0,D,1.0,Leeds,6.2,3.8,1.35,Mark Halsey,6.0,3.4,1.5,0,0,0,0,0,0,0,0,1,0,0,2,11.0,15.0,5.0,5.0,6.0,5.0,0,0,0,0,0.25,0.6666666666666666,0.0,0.5,0.0,0.0
54,8.0,14.0,0.0,10.0,7.0,0.0,Newcastle,16/09/00,E0,0.0,2.0,H,4.0,14.0,0.0,13.0,9.0,0.0,0.0,D,0.0,Southampton,2.1,2.9,2.9,Barry Knight,2.2,3.25,2.75,0,0,0,0,0,0,0,0,0,4,1,0,9.0,10.0,5.0,4.0,6.0,5.0,0,0,0,0,0.75,0.0,0.5,0.0,0.0,0.0
55,5.0,28.0,0.0,10.0,5.0,3.0,Derby,16/09/00,E0,1.0,2.0,H,4.0,16.0,0.0,15.0,8.0,0.0,1.0,H,2.0,Sunderland,3.5,3.0,1.8,Paul Taylor,4.0,3.4,1.72,0,0,0,0,0,0,0,0,0,3,1,0,5.0,12.0,1.0,6.0,4.0,4.0,0,0,0,0,0.0,0.25,0.0,1.0,0.0,0.0
56,3.0,17.0,0.0,7.0,5.0,1.0,Leicester,17/09/00,E0,2.0,0.0,A,15.0,16.0,0.0,16.0,10.0,1.0,0.0,A,3.0,Chelsea,4.7,3.4,1.5,Graham Barber,5.5,3.4,1.53,0,1,0,0,0,0,0,2,3,5,0,0,10.0,17.0,3.0,6.0,6.0,10.0,0,0,0,0,1.0,0.5,1.0,1.0,0.0,0.0
57,3.0,11.0,0.0,4.0,2.0,5.0,Middlesbrough,17/09/00,E0,1.0,1.0,D,9.0,15.0,0.0,11.0,4.0,0.0,0.0,D,2.0,Man City,2.6,3.0,2.2,Steve Lodge,2.62,3.25,2.3,0,0,0,1,0,0,0,0,0,0,1,1,9.0,9.0,7.0,5.0,4.0,7.0,0,0,0,0,0.3333333333333333,0.4,1.0,0.5,0.0,0.0
58,0.0,13.0,0.0,7.0,2.0,2.0,Liverpool,17/09/00,E0,1.0,1.0,D,9.0,5.0,0.0,15.0,4.0,1.0,0.0,A,0.0,West Ham,2.2,2.9,2.7,David Ellaray,2.3,3.25,2.62,0,1,0,0,0,0,0,2,0,3,1,0,11.0,14.0,5.0,8.0,3.0,9.0,0,0,0,0,0.75,0.0,0.0,0.0,0.0,0.0
